Product,Price,Description,Category,Tags,Stock Status,Related Products
Dragonair,£57.00,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,"Categories: Dragon, Pokemon","Tags: Dragon, dragonair, Shed Skin",119 in stock,"Kakuna, Beedrill, Ekans"
Dragonite,£69.00,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land.,"Categories: Dragon, Pokemon","Tags: Dragon, dragonite, Inner Focus",127 in stock,"Kakuna, Spearow, Weedle"
Mewtwo,£43.00,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon’s body, they failed to endow Mewtwo with a compassionate heart.","Categories: Genetic, Pokemon","Tags: Genetic, mewtwo, Pressure",78 in stock,"Kakuna, Charmander, Squirtle"
Mew,£136.00,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.","Categories: New Species, Pokemon","Tags: mew, New Species, Synchronize",152 in stock,"Weedle, Venusaur, Metapod"
Chikorita,£127.00,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.","Categories: Leaf, Pokemon","Tags: chikorita, Leaf, Overgrow",98 in stock,"Rattata, Pidgey, Fearow"
Bayleef,£44.00,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,"Categories: Leaf, Pokemon","Tags: bayleef, Leaf, Overgrow",299 in stock,"Charmander, Pidgeotto, Charizard"
Meganium,£163.00,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.","Categories: Herb, Pokemon","Tags: Herb, meganium, Overgrow",71 in stock,"Rattata, Arbok, Spearow"
Cyndaquil,£154.00,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","Categories: Fire Mouse, Pokemon","Tags: Blaze, cyndaquil, Fire Mouse",184 in stock,"Arbok, Rattata, Venusaur"
Quilava,£85.00,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,"Categories: Pokemon, Volcano","Tags: Blaze, quilava, Volcano",263 in stock,"Caterpie, Ivysaur, Butterfree"
Typhlosion,£191.00,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,"Categories: Pokemon, Volcano","Tags: Blaze, typhlosion, Volcano",118 in stock,"Pidgeotto, Pidgeot, Wartortle"
Totodile,£190.00,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.","Categories: Big Jaw, Pokemon","Tags: Big Jaw, Torrent, totodile",285 in stock,"Ekans, Charmeleon, Weedle"
Croconaw,£175.00,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.","Categories: Big Jaw, Pokemon","Tags: Big Jaw, croconaw, Torrent",255 in stock,"Beedrill, Venusaur, Spearow"
Feraligatr,£183.00,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.","Categories: Big Jaw, Pokemon","Tags: Big Jaw, feraligatr, Torrent",175 in stock,"Arbok, Pidgeot, Beedrill"
Sentret,£48.00,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.","Categories: Pokemon, Scout","Tags: Keen Eye, Scout, sentret",83 in stock,"Pidgey, Ekans, Weedle"
Furret,£154.00,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.","Categories: Long Body, Pokemon","Tags: furret, Keen Eye, Long Body",85 in stock,"Kakuna, Spearow, Squirtle"
Hoothoot,£48.00,"Hoothoot has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day.","Categories: Owl, Pokemon","Tags: hoothoot, Keen Eye, Owl",204 in stock,"Ivysaur, Charmeleon, Spearow"
Noctowl,£170.00,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight.","Categories: Owl, Pokemon","Tags: Keen Eye, noctowl, Owl",10 in stock,"Blastoise, Caterpie, Metapod"
Ledyba,£98.00,Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid’s scent.,"Categories: Five Star, Pokemon","Tags: Five Star, ledyba, Swarm",83 in stock,"Charizard, Squirtle, Charmeleon"
Ledian,£136.00,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy.","Categories: Five Star, Pokemon","Tags: Five Star, ledian, Swarm",65 in stock,"Caterpie, Arbok, Ivysaur"
Spinarak,£199.00,The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,"Categories: Pokemon, String Spit","Tags: spinarak, String Spit, Swarm",136 in stock,"Pidgeotto, Pidgeot, Kakuna"
Ariados,£85.00,Ariados’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing.,"Categories: Long Leg, Pokemon","Tags: ariados, Long Leg, Swarm",50 in stock,"Charmander, Wartortle, Caterpie"
Crobat,£195.00,Crobat sneaks up on its intended prey using wings that barely make a sound. This Pokémon rests by hanging on a tree branch with its rear legs that serve as wings.,"Categories: Bat, Pokemon","Tags: Bat, crobat, Inner Focus",245 in stock,"Charmander, Butterfree, Charmeleon"
Chinchou,£59.00,"Chinchou’s two antennas are filled with cells that generate strong electricity. This Pokémon’s cells create so much electrical power, it even makes itself tingle slightly.","Categories: Angler, Pokemon","Tags: Angler, chinchou, Illuminate",130 in stock,"Weedle, Raticate, Venusaur"
Lanturn,£131.00,"Lanturn is known to emit light. If you peer down into the dark sea from a ship at night, you can sometimes see this Pokémon’s light rising from the depths where it swims. It gives the sea an appearance of a starlit night.","Categories: Light, Pokemon","Tags: Illuminate, lanturn, Light",218 in stock,"Fearow, Arbok, Ivysaur"
Pichu,£193.00,"When Pichu plays with others, it may short out electricity with another Pichu, creating a shower of sparks. In that event, this Pokémon will begin crying, startled by the flash of sparks.","Categories: Pokemon, Tiny Mouse","Tags: pichu, Static, Tiny Mouse",64 in stock,"Spearow, Charmander, Metapod"
Cleffa,£107.00,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew.","Categories: Pokemon, Star Shape","Tags: cleffa, Cute Charm, Star Shape",187 in stock,"Charmander, Rattata, Butterfree"
Igglybuff,£189.00,Igglybuff has a soft and plushy body that feels very much like a marshmallow. From this body wafts a gently sweet fragrance that soothes and calms the emotions of its foes.,"Categories: Balloon, Pokemon","Tags: Balloon, Cute Charm, igglybuff",170 in stock,"Butterfree, Fearow, Pidgeotto"
Togepi,£47.00,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others.","Categories: Pokemon, Spike Ball","Tags: Serene Grace, Spike Ball, togepi",264 in stock,"Blastoise, Ekans, Pidgeot"
Togetic,£69.00,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person.","Categories: Happiness, Pokemon","Tags: Happiness, Serene Grace, togetic",293 in stock,"Spearow, Venusaur, Beedrill"
Natu,£99.00,Natu has a highly developed jumping ability. The Pokémon flaps and leaps onto tree branches that are taller than grown-up people to pick at the tree’s new shoots.,"Categories: Pokemon, Tiny Bird","Tags: natu, Synchronize, Tiny Bird",36 in stock,"Rattata, Butterfree, Ivysaur"
Xatu,£123.00,Xatu is known to stand motionless while staring at the sun all day long. Some people revere it as a mystical Pokémon out of their belief that Xatu is in possession of the power to see into the future.,"Categories: Mystic, Pokemon","Tags: Mystic, Synchronize, xatu",196 in stock,"Weedle, Squirtle, Metapod"
Mareep,£79.00,"Mareep’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows.","Categories: Pokemon, Wool","Tags: mareep, Static, Wool",152 in stock,"Beedrill, Ekans, Squirtle"
Flaaffy,£163.00,Flaaffy’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,"Categories: Pokemon, Wool","Tags: flaaffy, Static, Wool",64 in stock,"Pidgey, Squirtle, Kakuna"
Ampharos,£41.00,Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away.,"Categories: Light, Pokemon","Tags: ampharos, Light, Static",247 in stock,"Caterpie, Pidgeotto, Metapod"
Bellossom,£25.00,"A Bellossom grows flowers more beautifully if it has evolved from a smelly Gloom—the more stinky the better. At night, this Pokémon closes its petals and goes to sleep.","Categories: Flower, Pokemon","Tags: bellossom, Chlorophyll, Flower",234 in stock,"Pidgeotto, Squirtle, Blastoise"
Marill,£127.00,"When fishing for food at the edge of a fast-running stream, Marill wraps its tail around the trunk of a tree. This Pokémon’s tail is flexible and configured to stretch.","Categories: Aqua Mouse, Pokemon","Tags: Aqua Mouse, marill, Thick Fat",55 in stock,"Pidgey, Arbok, Wartortle"
Azumarill,£175.00,Azumarill can make balloons out of air. It makes these air balloons if it spots a drowning Pokémon. The air balloons enable the Pokémon in trouble to breathe.,"Categories: Aqua Rabbit, Pokemon","Tags: Aqua Rabbit, azumarill, Thick Fat",300 in stock,"Raticate, Beedrill, Rattata"
Sudowoodo,£54.00,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter.","Categories: Imitation, Pokemon","Tags: Imitation, Rock Head, sudowoodo",147 in stock,"Metapod, Ekans, Weedle"
Politoed,£193.00,"The curled hair on Politoed’s head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers.","Categories: Frog, Pokemon","Tags: Damp, Frog, politoed",261 in stock,"Raticate, Pidgey, Squirtle"
Hoppip,£107.00,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away.","Categories: Cottonweed, Pokemon","Tags: Chlorophyll, Cottonweed, hoppip",266 in stock,"Ivysaur, Pidgey, Caterpie"
Skiploom,£185.00,"Skiploom’s flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer.","Categories: Cottonweed, Pokemon","Tags: Chlorophyll, Cottonweed, skiploom",94 in stock,"Pidgeotto, Charmeleon, Kakuna"
Jumpluff,£107.00,Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating.,"Categories: Cottonweed, Pokemon","Tags: Chlorophyll, Cottonweed, jumpluff",235 in stock,"Pidgeotto, Caterpie, Butterfree"
Aipom,£182.00,"Aipom’s tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy.","Categories: Long Tail, Pokemon","Tags: aipom, Long Tail, Run Away",92 in stock,"Kakuna, Caterpie, Rattata"
Sunkern,£150.00,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew.","Categories: Pokemon, Seed","Tags: Chlorophyll, Seed, sunkern",255 in stock,"Weedle, Metapod, Caterpie"
Sunflora,£33.00,Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night.,"Categories: Pokemon, Sun","Tags: Chlorophyll, sun, sunflora",163 in stock,"Metapod, Spearow, Blastoise"
Yanma,£130.00,Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey.,"Categories: Clear Wing, Pokemon","Tags: Clear Wing, Compound Eyes, yanma",130 in stock,"Pidgeot, Ekans, Raticate"
Wooper,£98.00,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film.","Categories: Pokemon, Water Fish","Tags: Damp, Water Fish, wooper",48 in stock,"Caterpie, Beedrill, Rattata"
Quagsire,£37.00,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry.","Categories: Pokemon, Water Fish","Tags: Damp, quagsire, Water Fish",292 in stock,"Fearow, Charmeleon, Arbok"
Espeon,£177.00,Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm.,"Categories: Pokemon, Sun","Tags: espeon, sun, Synchronize",153 in stock,"Sunflora, Beedrill, Kakuna"
Umbreon,£78.00,Umbreon evolved as a result of exposure to the moon’s waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack.,"Categories: Moonlight, Pokemon","Tags: Moonlight, Synchronize, umbreon",186 in stock,"Butterfree, Charmander, Beedrill"
Murkrow,£178.00,Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women.,"Categories: Darkness, Pokemon","Tags: Darkness, Insomnia, murkrow",246 in stock,"Charmander, Butterfree, Squirtle"
Slowking,£174.00,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off.","Categories: Pokemon, Royal","Tags: Oblivious, Royal, slowking",55 in stock,"Venusaur, Ivysaur, Arbok"
Misdreavus,£33.00,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition.","Categories: Pokemon, Screech","Tags: Levitate, misdreavus, Screech",207 in stock,"Blastoise, Pidgey, Pidgeotto"
Unown,£198.00,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known.","Categories: Pokemon, Symbol","Tags: Levitate, Symbol, unown",47 in stock,"Ivysaur, Caterpie, Wartortle"
Wobbuffet,£107.00,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond.","Categories: Patient, Pokemon","Tags: Patient, Shadow Tag, wobbuffet",113 in stock,"Arbok, Ekans, Butterfree"
Girafarig,£99.00,"Girafarig’s rear head contains a tiny brain that is too small for thinking. However, the rear head doesn’t need to sleep, so it can keep watch over its surroundings 24 hours a day.","Categories: Long Neck, Pokemon","Tags: girafarig, Inner Focus, Long Neck",31 in stock,"Wartortle, Blastoise, Venusaur"
Gligar,£112.00,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb.","Categories: Fly Scorpion, Pokemon","Tags: Fly Scorpion, gligar, Sand Veil",140 in stock,"Beedrill, Ekans, Butterfree"
Steelix,£116.00,Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth’s core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground.,"Categories: Iron Snake, Pokemon","Tags: Iron Snake, Rock Head, steelix",157 in stock,"Caterpie, Fearow, Kakuna"
Snubbull,£63.00,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee.","Categories: Fairy, Pokemon","Tags: Fairy, Run Away, snubbull",164 in stock,"Rattata, Caterpie, Blastoise"
Granbull,£59.00,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately.","Categories: Fairy, Pokemon","Tags: Fairy, granbull, Intimidate",171 in stock,"Beedrill, Kakuna, Charizard"
Qwilfish,£77.00,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging.","Categories: Balloon, Pokemon","Tags: Balloon, Poison Point, qwilfish",297 in stock,"Metapod, Caterpie, Beedrill"
Scizor,£172.00,Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature.,"Categories: Pincer, Pokemon","Tags: Pincer, scizor, Swarm",198 in stock,"Raticate, Charizard, Wartortle"
Shuckle,£194.00,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice.","Categories: Mold, Pokemon","Tags: Mold, shuckle, Sturdy",74 in stock,"Charizard, Squirtle, Pidgeot"
Heracross,£143.00,"Heracross has sharp claws on its feet. These are planted firmly into the ground or the bark of a tree, giving the Pokémon a secure and solid footing to forcefully fling away foes with its proud horn.","Categories: Pokemon, Single Horn","Tags: heracross, Single Horn, Swarm",49 in stock,"Pidgeot, Pidgey, Wartortle"
Sneasel,£108.00,Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away.,"Categories: Pokemon, Sharp Claw","Tags: Keen Eye, Sharp Claw, sneasel",141 in stock,"Charmander, Kakuna, Fearow"
Teddiursa,£173.00,This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill.,"Categories: Little Bear, Pokemon","Tags: Little Bear, Pickup, teddiursa",274 in stock,"Butterfree, Rattata, Charizard"
Ursaring,£31.00,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day.","Categories: Hibernator, Pokemon","Tags: Guts, Hibernator, ursaring",209 in stock,"Raticate, Pidgeot, Charmander"
Magcargo,£36.00,"Magcargo’s body temperature is approximately 18,000 degrees Fahrenheit. Water is vaporized on contact. If this Pokémon is caught in the rain, the raindrops instantly turn into steam, cloaking the area in a thick fog.","Categories: Lava, Pokemon","Tags: Flame Body, Lava, magcargo",210 in stock,"Pidgeot, Wartortle, Ivysaur"
Swinub,£132.00,Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs.,"Categories: Pig, Pokemon","Tags: Oblivious, Pig, swinub",250 in stock,"Rattata, Raticate, Spearow"
Piloswine,£84.00,Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice.,"Categories: Pokemon, Swine","Tags: Oblivious, piloswine, Swine",276 in stock,"Pidgey, Butterfree, Wartortle"
Corsola,£27.00,"Clusters of Corsola congregate in warm seas where they serve as ideal hiding places for smaller Pokémon. When the water temperature falls, this Pokémon migrates to the southern seas.","Categories: Coral, Pokemon","Tags: Coral, corsola, Natural Cure",162 in stock,"Beedrill, Metapod, Fearow"
Remoraid,£122.00,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers.","Categories: Jet, Pokemon","Tags: Jet, remoraid, Sniper",46 in stock,"Arbok, Fearow, Pidgeotto"
Octillery,£94.00,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape.","Categories: Jet, Pokemon","Tags: Jet, octillery, Sniper",150 in stock,"Metapod, Arbok, Wartortle"
Delibird,£121.00,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world’s highest mountain, thanks to one of these Pokémon sharing its food.","Categories: Delivery, Pokemon","Tags: delibird, Delivery, Vital Spirit",141 in stock,"Pidgeotto, Charmeleon, Rattata"
Mantine,£114.00,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea’s waves. This Pokémon is not bothered by the Remoraid that hitches rides.","Categories: Kite, Pokemon","Tags: Kite, mantine, Water Absorb",195 in stock,"Pidgeot, Metapod, Pidgeotto"
Skarmory,£199.00,"Skarmory’s steel wings become tattered and bashed in from repeated battles. Once a year, the battered wings grow back completely, restoring the cutting edges to their pristine state.","Categories: Armor Bird, Pokemon","Tags: Armor Bird, Keen Eye, skarmory",102 in stock,"Weedle, Ekans, Caterpie"
Houndour,£144.00,Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon’s remarkable teamwork is unparalleled.,"Categories: Dark, Pokemon","Tags: Dark, Flash Fire, houndour",184 in stock,"Pidgey, Weedle, Charmander"
Houndoom,£78.00,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves.","Categories: Dark, Pokemon","Tags: Dark, Flash Fire, houndoom",40 in stock,"Wartortle, Ivysaur, Blastoise"
Kingdra,£124.00,"Kingdra sleeps on the seafloor where it is otherwise devoid of life. When a storm arrives, the Pokémon is said to awaken and wander about in search of prey.","Categories: Dragon, Pokemon","Tags: Dragon, kingdra, Swift Swim",206 in stock,"Weedle, Pidgey, Ekans"
Phanpy,£129.00,"Phanpy uses its long nose to shower itself. When others gather around, they thoroughly douse each other with water. These Pokémon can be seen drying their soaking-wet bodies at the edge of water.","Categories: Long Nose, Pokemon","Tags: Long Nose, phanpy, Pickup",120 in stock,"Ivysaur, Charmeleon, Caterpie"
Donphan,£89.00,"If Donphan were to tackle with its hard body, even a house could be destroyed. Using its massive strength, the Pokémon helps clear rock and mud slides that block mountain trails.","Categories: Armor, Pokemon","Tags: Armor, donphan, Sturdy",197 in stock,"Pidgeot, Weedle, Charmander"
Porygon2,£151.00,Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own.,"Categories: Pokemon, Virtual","Tags: porygon2, Trace, Virtual",210 in stock,"Charmander, Fearow, Venusaur"
Stantler,£33.00,"Stantler’s magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers.","Categories: Big Horn, Pokemon","Tags: Big Horn, Intimidate, stantler",278 in stock,"Venusaur, Pidgey, Charizard"
Smeargle,£151.00,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found.","Categories: Painter, Pokemon","Tags: Painter, smeargle, Technician",56 in stock,"Metapod, Raticate, Blastoise"
Tyrogue,£145.00,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods.","Categories: Pokemon, Scuffle","Tags: Guts, Scuffle, tyrogue",76 in stock,"Ekans, Beedrill, Venusaur"
Hitmontop,£149.00,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking.","Categories: Handstand, Pokemon","Tags: Handstand, hitmontop, Intimidate",47 in stock,"Arbok, Fearow, Charmander"
Smoochum,£166.00,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn’t become dirty.","Categories: Kiss, Pokemon","Tags: Kiss, Oblivious, smoochum",116 in stock,"Metapod, Charizard, Beedrill"
Elekid,£104.00,"Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself.","Categories: Electric, Pokemon","Tags: Electric, elekid, Static",131 in stock,"Spearow, Weedle, Pidgey"
Magby,£40.00,"Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames.","Categories: Live Coal, Pokemon","Tags: Flame Body, Live Coal, magby",21 in stock,"Pidgeotto, Blastoise, Metapod"
Miltank,£26.00,Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can’t drink milk turn it into yogurt and eat it instead.,"Categories: Milk Cow, Pokemon","Tags: Milk Cow, miltank, Thick Fat",12 in stock,"Pidgeotto, Butterfree, Charmeleon"
Blissey,£31.00,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face.","Categories: Happiness, Pokemon","Tags: blissey, Happiness, Natural Cure",289 in stock,"Pidgeotto, Blastoise, Raticate"
Raikou,£66.00,Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down.,"Categories: Pokemon, Thunder","Tags: Pressure, raikou, Thunder",276 in stock,"Kakuna, Charizard, Caterpie"
Entei,£27.00,Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch.,"Categories: Pokemon, Volcano","Tags: entei, Pressure, Volcano",36 in stock,"Rattata, Ivysaur, Arbok"
Suicune,£68.00,Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water.,"Categories: Aurora, Pokemon","Tags: Aurora, Pressure, suicune",275 in stock,"Charizard, Venusaur, Ekans"
Larvitar,£26.00,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents.","Categories: Pokemon, Rock Skin","Tags: Guts, larvitar, Rock Skin",31 in stock,"Beedrill, Wartortle, Blastoise"
Pupitar,£114.00,Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel.,"Categories: Hard Shell, Pokemon","Tags: Hard Shell, pupitar, Shed Skin",221 in stock,"Ivysaur, Kakuna, Pidgeotto"
Tyranitar,£190.00,"Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight.","Categories: Armor, Pokemon","Tags: Armor, Sand Stream, tyranitar",86 in stock,"Weedle, Ekans, Squirtle"
Lugia,£86.00,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea.","Categories: Diving, Pokemon","Tags: Diving, lugia, Pressure",57 in stock,"Pidgey, Venusaur, Blastoise"
Ho-oh,£91.00,Ho-Oh’s feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow.,"Categories: Pokemon, Rainbow","Tags: ho-oh, Pressure, Rainbow",228 in stock,"Beedrill, Butterfree, Raticate"
Celebi,£111.00,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us.","Categories: Pokemon, Time Travel","Tags: celebi, Natural Cure, Time Travel",154 in stock,"Metapod, Butterfree, Fearow"
Treecko,£96.00,"Treecko is cool, calm, and collected—it never panics under any situation. If a bigger foe were to glare at this Pokémon, it would glare right back without conceding an inch of ground.","Categories: Pokemon, Wood Gecko","Tags: Overgrow, treecko, Wood Gecko",93 in stock,"Metapod, Fearow, Blastoise"
Grovyle,£190.00,"This Pokémon adeptly flies from branch to branch in trees. In a forest, no Pokémon can ever hope to catch a fleeing Grovyle however fast they may be.","Categories: Pokemon, Wood Gecko","Tags: grovyle, Overgrow, Wood Gecko",195 in stock,"Rattata, Charizard, Arbok"
Sceptile,£37.00,Sceptile has seeds growing on its back. They are said to be bursting with nutrients that revitalize trees. This Pokémon raises the trees in a forest with loving care.,"Categories: Forest, Pokemon","Tags: Forest, Overgrow, sceptile",159 in stock,"Wartortle, Pidgey, Raticate"
